,Sales_ID,name,year,selling_price,km_driven,Region,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold
10,11,Renault Duster 110PS Diesel RxL,2014,500000,68000.0,East,New York,New York City,Diesel,Individual,Manual,,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5,Y
11,12,Maruti Zen LX,2005,92000,100000.0,Central,Texas,Houston,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,Y
12,13,Maruti Swift Dzire VDi,2009,280000,140000.0,Central,Texas,Houston,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,Y
13,15,Maruti Wagon R LXI Minor,2009,180000,90000.0,East,Massachusetts,Boston,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,Y
14,16,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000.0,East,Massachusetts,Boston,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5,Y
15,17,Maruti Ertiga SHVS VDI,2016,778000,70000.0,Central,Texas,Dallas,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,Y
16,18,Hyundai i20 1.4 CRDi Asta,2012,500000,53000.0,Central,Texas,Dallas,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,Y
17,19,Maruti Alto LX,2002,150000,80000.0,Central,Texas,Dallas,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,Y
18,20,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000.0,East,New York,New York City,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,Y
19,21,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000.0,East,New York,New York City,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5,Y
20,22,Honda WR-V i-DTEC VX,2017,950000,50000.0,East,New York,New York City,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,Y
21,23,Maruti Swift Dzire ZDI,2015,525000,40000.0,Central,Texas,Dallas,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,Y
22,24,Maruti SX4 ZDI,2012,600000,72000.0,East,New York,New York City,Diesel,Individual,Manual,First Owner,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5,Y
23,25,Tata Tigor 2017-2020 XZ,2018,500000,35000.0,East,New York,New York City,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,83.81 bhp,114Nm@ 3500rpm,5,Y
24,26,Maruti Baleno Delta 1.2,2016,575000,45000.0,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,Y
25,27,Maruti Alto 800 LXI,2017,275000,28000.0,West,Washington,Seattle,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,Y
26,28,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000.0,East,Massachusetts,Boston,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7,Y
27,29,Maruti Wagon R LXI Minor,2009,220000,120000.0,South,Georgia,Atlanta,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,Y
28,30,Maruti Omni E MPI STD BS IV,2018,254999,25000.0,East,New York,New York City,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8,Y
29,31,Maruti Vitara Brezza LDi Option,2017,670000,70000.0,Central,Illinois,Chicago,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Y
30,33,Maruti Omni 8 Seater BSIV,2012,150000,35000.0,Central,Illinois,Chicago,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5,Y
31,34,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388.0,West,Washington,Seattle,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,Y
32,35,Maruti Vitara Brezza LDi,2017,650000,16200.0,West,Washington,Seattle,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Y
33,36,Maruti Alto 800 CNG LXI Optional,2019,330000,10000.0,West,Washington,Seattle,CNG,Individual,Manual,Second Owner,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm,4,Y
34,37,Maruti Alto K10 VXI Airbag,2019,366000,15000.0,West,Washington,Seattle,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,Y
35,38,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000.0,East,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,Y
36,39,Datsun GO D,2016,150000,42000.0,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5,Y
37,40,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000.0,South,North Carolina,Charlotte,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,Y
38,41,Maruti 800 Std,2012,150000,76000.0,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,Y
39,42,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000.0,East,New York,New York City,Petrol,Individual,Automatic,First Owner,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5,Y
40,43,Honda City i VTEC VX,2018,925000,28900.0,East,New York,New York City,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5,Y
41,44,Honda City V MT,2013,425000,86300.0,East,New York,New York City,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,Y
42,45,Maruti Swift Dzire VXi AT,2018,675000,23300.0,East,New York,New York City,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,Y
43,46,Maruti Vitara Brezza VDi,2018,819999,32600.0,Central,Illinois,Chicago,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Y
44,47,Maruti Alto K10 VXI,2018,390000,10300.0,East,New York,New York City,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,Y
45,48,Toyota Fortuner 4x4 MT,2014,1500000,77000.0,West,Washington,Seattle,Diesel,Dealer,Manual,First Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,Y
46,49,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000.0,East,New York,New York City,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7,Y
47,50,Mercedes-Benz B Class B180,2014,1450000,27800.0,East,New York,New York City,Diesel,Dealer,Automatic,Second Owner,14.8 kmpl,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5,Y
48,51,Honda Amaze S Diesel,2015,425000,49800.0,East,New York,New York City,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5,Y
49,52,Mitsubishi Pajero Sport 4X4,2013,1090000,151000.0,West,Washington,Seattle,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7,Y
50,53,Honda City i DTEC S,2015,600000,54700.0,West,California,Los Angeles,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,Y
51,54,Maruti Ciaz Zeta,2018,850000,64000.0,East,New York,New York City,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm,5,Y
52,55,Honda Jazz VX Diesel,2015,525000,63000.0,South,Georgia,Atlanta,Diesel,Dealer,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,Y
53,56,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700.0,East,Massachusetts,Boston,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7,Y
54,57,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000.0,South,Georgia,Atlanta,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,Y
55,58,Audi A6 2.0 TDI Technology,2013,1750000,33900.0,South,Georgia,Atlanta,Diesel,Dealer,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5,Y
56,59,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000.0,South,Florida,Miami,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5,Y
57,60,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000.0,East,Massachusetts,Boston,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5,Y
58,61,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000.0,East,Massachusetts,Boston,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5,Y
59,62,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000.0,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5,Y
60,63,Hyundai i10 Magna,2011,190000,110000.0,West,California,San Diego,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,Y
61,64,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000.0,West,California,San Francisco,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5,Y
62,65,Maruti Swift Dzire ZDI,2015,630000,147000.0,West,California,San Francisco,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,Y
63,66,Ford Figo 1.2P Titanium MT,2017,600000,25000.0,East,District of Columbia,Washington,Petrol,Individual,Manual,Third Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,Y
64,67,Maruti Baleno Delta 1.2,2019,650000,30000.0,East,New York,New York City,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,Y
65,68,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000.0,East,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,22.0 kmpl,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm,5,Y
66,69,Honda City i DTEC VX,2015,630000,,East,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,Y
67,70,Maruti Wagon R AMT VXI,2018,448000,30000.0,East,District of Columbia,Washington,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5,Y
68,71,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000.0,Central,Illinois,Chicago,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5,Y
69,72,Maruti Vitara Brezza VDi,2016,745000,70000.0,East,Massachusetts,Boston,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Y
70,73,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850.0,East,Massachusetts,Boston,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Y
71,74,Hyundai i10 Magna,2011,235000,60000.0,East,New York,New York City,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,Y
72,75,Maruti Swift VDI Deca,2016,630000,70000.0,West,California,Los Angeles,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,Y
73,76,Toyota Fortuner 4x4 MT,2015,1700000,78000.0,West,California,Los Angeles,Diesel,Individual,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,Y
74,77,Maruti Swift Star VDI,2013,450000,120000.0,Central,Texas,Dallas,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,Y
75,78,Maruti Ertiga ZXI,2012,450000,120000.0,South,Florida,Miami,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,Y
76,80,Volkswagen Vento Diesel Highline,2013,450000,170000.0,South,North Carolina,Charlotte,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,Y
77,81,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000.0,East,New York,New York City,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8,Y
78,82,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000.0,Central,Illinois,Chicago,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5,Y
79,83,BMW X1 sDrive20i xLine,2016,2500000,30000.0,Central,Illinois,Chicago,Petrol,Individual,Automatic,Second Owner,15.71 kmpl,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5,Y
80,84,Maruti Celerio ZXI MT BSIV,2017,484999,10000.0,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,Y
81,85,Datsun GO A Petrol,2016,275000,49000.0,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5,Y
82,86,Maruti Alto 800 VXI BSIV,2016,315000,32000.0,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,Y
83,87,Maruti Alto 800 LXI BSIV,2016,275000,38000.0,East,New York,New York City,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,Y
84,89,Hyundai i10 Era 1.1,2012,290000,28000.0,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,Y
85,90,Maruti Omni 8 Seater BSIV,2017,280000,32000.0,Central,Michigan,Detroit,Petrol,Dealer,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5,Y
86,91,Maruti Wagon R LXI LPG BSIV,2010,225000,44000.0,Central,Michigan,Detroit,LPG,Dealer,Manual,First Owner,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5,Y
87,92,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000.0,South,North Carolina,Charlotte,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5,Y
88,93,Hyundai i10 Magna 1.1L,2015,351000,45000.0,South,North Carolina,Charlotte,Petrol,Dealer,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,Y
89,94,Volkswagen Vento Petrol Highline,2012,535000,12000.0,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,Second Owner,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5,Y
90,95,Maruti Zen Estilo LXI BSIII,2009,175000,55500.0,East,Pennsylvania,Philadelphia,Petrol,,Manual,First Owner,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,Y
91,96,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500.0,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,Y
92,97,Maruti Swift Dzire LDI,2016,600000,150000.0,East,Massachusetts,Boston,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,Y
93,98,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000.0,South,Georgia,Atlanta,Petrol,Dealer,Automatic,First Owner,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,Y
94,99,Maruti Alto LX BSIII,2008,120000,68000.0,West,California,Los Angeles,Petrol,Dealer,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,Y
95,100,Hyundai i20 1.4 Asta Option,2017,725000,110000.0,West,California,Los Angeles,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,Y
96,101,Maruti Wagon R VXI,2009,185000,77000.0,East,District of Columbia,Washington,Petrol,Dealer,Manual,Second Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,Y
97,102,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000.0,East,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5,Y
98,103,Maruti Swift VXI,2019,615000,10000.0,East,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,Y
99,104,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000.0,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7,Y
100,105,Maruti Baleno Zeta 1.2,2018,610000,35000.0,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,Y
101,106,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000.0,East,Pennsylvania,Philadelphia,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,Y
102,107,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000.0,Central,Texas,Houston,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm,5,Y
103,108,Hyundai Verna VTVT 1.6 SX,2017,866000,37800.0,East,New York,New York City,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,Y
104,109,Volkswagen Passat 1.8 TSI MT,2010,700000,114000.0,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5,Y
105,110,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000.0,Central,Illinois,Chicago,Petrol,Individual,Manual,First Owner,15.8 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,5,Y
106,111,Mahindra XUV500 W11 Option AWD,2019,1700000,32000.0,East,New York,New York City,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,155 bhp,360Nm@ 1750-2800rpm,7,Y
107,112,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000.0,East,New York,New York City,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5,Y
108,113,Hyundai Verna 1.6 SX,2013,522000,150000.0,East,New York,New York City,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,Y
109,114,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000.0,East,New York,New York City,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5,Y
110,115,Toyota Corolla Altis G,2009,300000,100000.0,East,New York,New York City,Petrol,Individual,Manual,Second Owner,14.53 kmpl,1798 CC,138.1 bhp,173Nm@ 4000rpm,5,Y
111,116,Maruti Celerio VXI,2020,475000,13000.0,East,New York,New York City,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,Y
112,117,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000.0,West,California,Los Angeles,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Y
113,118,Maruti Swift Dzire VXI,2017,595000,40000.0,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,Y
114,119,Maruti Wagon R VXI BS IV,2017,440000,35000.0,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,,998 CC,67.04 bhp,90Nm@ 3500rpm,5,Y
115,121,Nissan Terrano XL 85 PS,2014,400000,70000.0,East,District of Columbia,Washington,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5,Y
116,122,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000.0,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,Y
117,123,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139.0,East,New York,New York City,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5,Y
118,124,Maruti Swift Dzire VDi,2012,370000,175000.0,South,North Carolina,Charlotte,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,Y
119,125,Renault KWID 1.0,2018,350000,25000.0,East,Massachusetts,Boston,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5,Y
120,126,Maruti Celerio VXI,2015,360000,40000.0,East,Massachusetts,Boston,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,Y
121,127,Maruti Alto LXi,2008,105000,65000.0,East,Massachusetts,Boston,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,Y
122,128,Maruti Ertiga VDI,2013,625000,90000.0,West,California,San Francisco,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,Y
123,129,Hyundai Santro Xing GLS,2009,135000,80000.0,West,Washington,Seattle,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,Y
124,130,Maruti Ertiga VDI,2015,700000,110000.0,East,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,Y
125,131,Honda Amaze S i-VTEC,2019,690000,1303.0,East,District of Columbia,Washington,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5,Y
126,132,Audi Q5 35TDI Premium Plus,2018,3975000,31800.0,West,Washington,Seattle,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm,5,Y
127,133,Lexus ES 300h,2019,5150000,20000.0,West,Washington,Seattle,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,Y
128,134,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000.0,East,New York,New York City,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,Y
129,135,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000.0,West,California,Los Angeles,Petrol,Individual,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm,5,Y
130,136,Land Rover Discovery Sport TD4 SE,2019,4500000,21000.0,West,California,Los Angeles,Diesel,Dealer,Automatic,First Owner,12.83 kmpl,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7,Y
131,137,Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000.0,West,California,Los Angeles,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5,Y
